municipality,name,map_id
1452,Tranemo,SE.VG.TM
1460,Bengtsfors,SE.VG.BE
1461,Mellerud,SE.VG.ME
1462,Lilla Edet,SE.VG.LE
1463,Mark,SE.VG.MK
1465,Svenljunga,SE.VG.SV
1466,Herrljunga,SE.VG.HE
1470,Vara,SE.VG.VA
1471,Götene,SE.VG.GN
1472,Tibro,SE.VG.TB
1473,Töreboda,SE.VG.TO
1480,Göteborg,SE.VG.GB
1481,Mölndal,SE.VG.MO
1482,Kungälv,SE.VG.KU
1484,Lysekil,SE.VG.LY
1485,Uddevalla,SE.VG.UD
1486,Strömstad,SE.VG.ST
1487,Vänersborg,SE.VG.VB
1488,Trollhättan,SE.VG.TR
1489,Alingsås,SE.VG.AS
1490,Borås,SE.VG.BR
1491,Ulricehamn,SE.VG.UL
1492,Åmål,SE.VG.AM
1493,Mariestad,SE.VG.MS
1494,Lidköping,SE.VG.LI
1495,Skara,SE.VG.SK
1496,Skövde,SE.VG.SD
1497,Hjo,SE.VG.HJ
1498,Tidaholm,SE.VG.TD
1499,Falköping,SE.VG.FK
1715,Kil,SE.VR.KI
1730,Eda,SE.VR.ED
1737,Torsby,SE.VR.TO
1760,Storfors,SE.VR.ST
1761,Hammarö,SE.VR.HM
1762,Munkfors,SE.VR.MU
1763,Forshaga,SE.VR.FO
1764,Grums,SE.VR.GR
1765,Årjäng,SE.VR.AJ
1766,Sunne,SE.VR.SU
1780,Karlstad,SE.VR.KA
1781,Kristinehamn,SE.VR.KR
1782,Filipstad,SE.VR.FI
1783,Hagfors,SE.VR.HG
1784,Arvika,SE.VR.AV
1785,Säffle,SE.VR.SA
1814,Lekeberg,SE.OR.LE
1860,Laxå,SE.OR.LA
1861,Hallsberg,SE.OR.HB
1862,Degerfors,SE.OR.DE
1863,Hällefors,SE.OR.HF
1864,Ljusnarsberg,SE.OR.LJ
1880,Örebro,SE.OR.OR
1881,Kumla,SE.OR.KU
1882,Askersund,SE.OR.AS
1883,Karlskoga,SE.OR.KA
1884,Nora,SE.OR.NO
1885,Lindesberg,SE.OR.LI
1904,Skinnskatteberg,SE.VM.SK
1907,Surahammar,SE.VM.SU
1960,Kungsör,SE.VM.KU
1961,Hallstahammar,SE.VM.HA
1962,Norberg,SE.VM.NO
1980,Västerås,SE.VM.VA
1981,Sala,SE.VM.SA
1982,Fagersta,SE.VM.FA
1983,Köping,SE.VM.KO
1984,Arboga,SE.VM.AR
2021,Vansbro,SE.KO.VA
2023,Malung-Sälen,
2026,Gagnef,SE.KO.GA
2029,Leksand,SE.KO.LE
2031,Rättvik,SE.KO.RA
2034,Orsa,SE.KO.OR
2039,Älvdalen,SE.KO.AL
2061,Smedjebacken,SE.KO.SM
2062,Mora,SE.KO.MO
2080,Falun,SE.KO.FA
2081,Borlänge,SE.KO.BO
2082,Säter,SE.KO.SA
2083,Hedemora,SE.KO.HE
2084,Avesta,SE.KO.AV
2085,Ludvika,SE.KO.LU
2101,Ockelbo,SE.GV.OC
2104,Hofors,SE.GV.HO
2121,Ovanåker,SE.GV.OV
2132,Nordanstig,SE.GV.NO
2161,Ljusdal,SE.GV.LJ
2180,Gävle,SE.GV.GA
2181,Sandviken,SE.GV.SA
2182,Söderhamn,SE.GV.SO
2183,Bollnäs,SE.GV.BO
2184,Hudiksvall,SE.GV.HU
2260,Ånge,SE.VN.AN
2262,Timrå,SE.VN.TI
2280,Härnösand,SE.VN.HA
2281,Sundsvall,SE.VN.SU
2282,Kramfors,SE.VN.KR
2283,Sollefteå,SE.VN.SO
2284,Örnsköldsvik,SE.VN.OR
2303,Ragunda,SE.JA.RA
2305,Bräcke,SE.JA.BR
2309,Krokom,SE.JA.KR
2313,Strömsund,SE.JA.ST
2321,Åre,SE.JA.AR
2326,Berg,SE.JA.BE
2361,Härjedalen,SE.JA.HA
2380,Östersund,SE.JA.OS
2401,Nordmaling,SE.VB.NM
2403,Bjurholm,SE.VB.BJ
2404,Vindeln,SE.VB.VD
2409,Robertsfors,SE.VB.RO
2417,Norsjö,SE.VB.NS
2418,Malå,SE.VB.MA
2421,Storuman,SE.VB.ST
2422,Sorsele,SE.VB.SO
2425,Dorotea,SE.VB.DO
2460,Vännäs,SE.VB.VA
2462,Vilhelmina,SE.VB.VH
2463,Åsele,SE.VB.AS
2480,Umeå,SE.VB.UM
2481,Lycksele,SE.VB.LY
2482,Skellefteå,SE.VB.SK
2505,Arvidsjaur,SE.NB.AJ
2506,Arjeplog,SE.NB.AP
2510,Jokkmokk,SE.NB.JO
2513,Överkalix,SE.NB.OK
2514,Kalix,SE.NB.KA
2518,Övertorneå,SE.NB.OT
2521,Pajala,SE.NB.PA
2523,Gällivare,SE.NB.GA
2560,Älvsbyn,SE.NB.AL
2580,Luleå,SE.NB.LU
2581,Piteå,SE.NB.PI
2582,Boden,SE.NB.BO
2583,Haparanda,SE.NB.HA
2584,Kiruna,SE.NB.KI
,,SE.KO.MA
